x,y,covariance
-0.18,-0.08,"[[1.50364300e-09 6.92977301e-10]
 [6.92977301e-10 2.16777934e-09]]"
-0.18,0.16,"[[2.29492472e-09 4.83322774e-10]
 [4.83322774e-10 2.52105301e-09]]"
-0.18,-0.16,"[[ 1.89963808e-09 -8.65529949e-10]
 [-8.65529949e-10  8.23784783e-10]]"
-0.18,0.05,"[[6.66836797e-10 2.07244899e-10]
 [2.07244899e-10 2.36690652e-09]]"
-0.18,-0.05,"[[1.35619408e-09 1.70978231e-10]
 [1.70978231e-10 1.33802160e-09]]"
-0.18,0.1,"[[1.08031885e-09 6.46104980e-10]
 [6.46104980e-10 1.52422092e-09]]"
-0.18,-0.1,"[[1.05377835e-09 2.20227762e-10]
 [2.20227762e-10 2.27622157e-09]]"
-0.18,0.03,"[[8.60029223e-10 4.10649442e-10]
 [4.10649442e-10 1.51890393e-09]]"
-0.18,-0.03,"[[8.25911875e-10 3.63575928e-10]
 [3.63575928e-10 1.78143506e-09]]"
-0.18,0.12,"[[1.61197136e-09 1.07056856e-09]
 [1.07056856e-09 2.46010770e-09]]"
-0.18,-0.12,"[[ 1.51009913e-09 -5.58113366e-11]
 [-5.58113366e-11  2.01148992e-09]]"
-0.18,0.21,"[[4.07698619e-09 1.60695922e-09]
 [1.60695922e-09 3.24357438e-09]]"
-0.18,-0.21,"[[ 1.02139722e-09 -2.55699370e-10]
 [-2.55699370e-10  2.47965653e-10]]"
-0.18,0.14,"[[1.69987688e-09 9.58396133e-10]
 [9.58396133e-10 3.05350269e-09]]"
-0.18,-0.14,"[[1.34601037e-09 7.75057008e-10]
 [7.75057008e-10 2.12897405e-09]]"
0.23,0.25,"[[1.05955054e-08 6.92869277e-09]
 [6.92869277e-09 7.28378485e-09]]"
0.23,-0.25,"[[ 3.16016238e-09 -2.69859531e-09]
 [-2.69859531e-09  3.63586331e-09]]"
0.23,0.18,"[[3.01072186e-09 5.11436750e-09]
 [5.11436750e-09 1.15616047e-08]]"
0.23,-0.18,"[[9.01550210e-10 2.19812888e-10]
 [2.19812888e-10 2.30541642e-09]]"
0.23,0.23,"[[8.42538980e-09 6.10891548e-09]
 [6.10891548e-09 6.30938834e-09]]"
0.23,-0.23,"[[ 1.72316404e-09 -2.41704623e-09]
 [-2.41704623e-09  6.10308925e-09]]"
0.23,0.01,"[[2.00540030e-09 5.31981021e-09]
 [5.31981021e-09 1.45562863e-08]]"
0.23,-0.01,"[[ 5.77522427e-09 -7.67661572e-08]
 [-7.67661572e-08  1.02547380e-06]]"
0.23,0.08,"[[ 9.17933000e-10 -1.89173681e-10]
 [-1.89173681e-10  7.59528865e-09]]"
0.23,-0.08,"[[ 1.68590051e-09 -4.67852899e-09]
 [-4.67852899e-09  1.33783957e-08]]"
0.23,0.16,"[[3.65458661e-09 4.28535752e-09]
 [4.28535752e-09 6.49310877e-09]]"
