x,y,covariance
0.23,-0.14,"[[8.18558395e-09 3.09037114e-09] [3.09037114e-09 3.38507598e-08]]"
-0.23,0.25,"[[2.40132689e-09 3.18912820e-10] [3.18912820e-10 4.56331145e-09]]"
-0.23,-0.25,"[[6.53361170e-10 1.19588795e-10] [1.19588795e-10 3.46982257e-11]]"
-0.23,0.18,"[[1.61036897e-09 3.41918170e-10] [3.41918170e-10 2.44172735e-09]]"
-0.23,-0.18,"[[8.98782937e-10 4.64652896e-10] [4.64652896e-10 1.76099572e-09]]"
-0.23,0.23,"[[ 2.00271438e-09 -5.92467281e-11] [-5.92467281e-11  4.05702661e-09]]"
-0.23,-0.23,"[[ 8.52846599e-10 -3.64884709e-10] [-3.64884709e-10  7.50381109e-10]]"
-0.23,0.01,"[[9.80617969e-10 2.23052999e-10] [2.23052999e-10 4.36886632e-10]]"
-0.23,-0.01,"[[5.99131931e-10 8.67080212e-11] [8.67080212e-11 4.54958710e-10]]"
-0.23,0.08,"[[6.62529316e-10 1.44721531e-10] [1.44721531e-10 6.41004087e-10]]"
-0.23,-0.08,"[[4.58464340e-10 1.70981227e-10] [1.70981227e-10 1.49967262e-09]]"
-0.23,0.16,"[[1.28099531e-09 4.68264973e-10] [4.68264973e-10 1.87058519e-09]]"
-0.23,-0.16,"[[ 6.98880382e-10 -7.22341783e-12] [-7.22341783e-12  3.94736635e-10]]"
-0.23,0.05,"[[1.04129339e-09 9.12183300e-11] [9.12183300e-11 4.52333489e-10]]"
-0.23,-0.05,"[[7.97703708e-10 2.71180665e-10] [2.71180665e-10 6.18405410e-10]]"
-0.23,0.1,"[[1.60313853e-09 2.17355026e-10] [2.17355026e-10 7.44992834e-10]]"
-0.23,-0.1,"[[9.09445526e-10 1.34844143e-10] [1.34844143e-10 1.42647274e-09]]"
-0.23,0.03,"[[8.27553659e-10 1.34236102e-10] [1.34236102e-10 4.43209055e-10]]"
-0.23,-0.03,"[[8.69948256e-10 2.82697640e-10] [2.82697640e-10 7.58857844e-10]]"
-0.23,0.12,"[[9.71234811e-10 3.39251284e-11] [3.39251284e-11 8.79347447e-10]]"
-0.23,-0.12,"[[ 7.17423024e-10 -4.59438234e-10] [-4.59438234e-10  1.85501180e-09]]"
-0.23,0.21,"[[1.70862666e-09 2.89238576e-10] [2.89238576e-10 3.24639321e-09]]"
-0.23,-0.21,"[[7.15201130e-10 1.38549711e-10] [1.38549711e-10 7.19153793e-10]]"
-0.23,0.14,"[[1.19918823e-09 1.40163594e-10] [1.40163594e-10 8.78410207e-10]]"
-0.23,-0.14,"[[6.22233585e-10 2.65951763e-10] [2.65951763e-10 1.75238073e-09]]"
0.01,0.25,"[[7.19358963e-09 1.16657126e-08] [1.16657126e-08 1.98029960e-08]]"
0.01,-0.25,"[[2.46095394e-09 1.31941396e-09] [1.31941396e-09 7.38374123e-10]]"
0.01,0.18,"[[5.04823751e-09 7.53204317e-09] [7.53204317e-09 1.15485698e-08]]"
0.01,-0.18,"[[2.46793092e-09 1.41934375e-10] [1.41934375e-10 1.57785232e-09]]"
0.01,0.23,"[[7.15916786e-09 1.05526332e-08] [1.05526332e-08 1.59712139e-08]]"
0.01,-0.23,"[[2.75817185e-09 5.51296206e-10] [5.51296206e-10 2.75883976e-10]]"
0.01,0.01,"[[2.30898165e-09 2.48764372e-09] [2.48764372e-09 2.93287882e-09]]"
