x,y,popt_q,popt_u,pcov_q,pcov_u
0.25,0.16,"[0.05357626500530987, 0.9995691067089977, -0.0038371130392262504, -0.05367472472074538, -0.008062773887756306, -0.00325064605712545]","[0.013560380248934746, 0.4653292738860426, 1.1795271332491382, -0.025180843067765597, 0.009793054742087933, 0.010223077837712714]","[[6.221579211188498e-07, -2.0575254747217598e-08, -1.7913863767693178e-08, -7.569236446182099e-07, -8.65493867068428e-07, -6.812880058872511e-07], [-2.0575254747217598e-08, 3.1866671124109115e-08, 1.5105926958044764e-08, 2.519021118248431e-08, 3.158583191004746e-08, 2.6473411754690706e-08], [-1.7913863767693165e-08, 1.510592695804476e-08, 3.747908763753809e-08, 2.358332059359759e-08, 2.728493370631222e-08, 2.6944347385200876e-08], [-7.569236446182099e-07, 2.5190211182484312e-08, 2.3583320593597605e-08, 9.774207431747407e-07, 1.04751393802027e-06, 8.824582333898508e-07], [-8.65493867068428e-07, 3.158583191004746e-08, 2.7284933706312235e-08, 1.04751393802027e-06, 1.2800865295346766e-06, 1.007877621443089e-06], [-6.812880058872508e-07, 2.6473411754690703e-08, 2.6944347385200883e-08, 8.824582333898504e-07, 1.0078776214430886e-06, 9.41707211124215e-07]]"
0.25,-0.16,"[0.033949477517001066, 1.0211382963724225, 0.043687742083897724, -0.13540121822072887, -0.46000710818518054, -0.4315540160587751]","[-0.10443378248822176, 4.162202261721503, 9.624455834848455, -0.4367050019312802, -0.9894643320554058, -1.164012747180873]","[[1.1356038487850574e-06, 1.3459219555011547e-06, 3.1010390402573525e-06, -2.1069058536472806e-05, -0.00010633896096860865, -9.203425416128418e-05], [1.3459219555011577e-06, 2.729238955789321e-06, 6.167154034983583e-06, -2.7237363025485083e-05, -0.0001371911319299208, -0.00011908893013473041], [3.1010390402573326e-06, 6.167154034983537e-06, 1.4244007702723704e-05, -6.240084196751913e-05, -0.0003163495094969879, -0.00027368066077498187], [-2.1069058536473074e-05, -2.7237363025485402e-05, -6.240084196752056e-05, 0.00041831547598446934, 0.0021015388837510142, 0.0018272889312632387], [-0.00010633896096860848, -0.00013719113192992027, -0.00031634950949699023, 0.002101538883750981, 0.010654936634134624, 0.009221929137113111], [-9.203425416128476e-05, -0.00011908893013473079, -0.00027368066077498594, 0.0018272889312632244, 0.009221929137113189, 0.008001097759313913]]"
0.25,0.05,"[0.04073755739048696, 0.9999476271730237, -0.001762609640146357, -0.054704334344203874, -0.023302116591142223, -0.03658401224310841]","[0.0508829227723806, 1.695031482108715, 2.048864641436736, -0.0767852405138536, 0.0021964028377661204, -0.01766293980200051]","[[1.4447798019954056e-06, -1.8927487031802033e-07, -2.1060919106163238e-07, -5.6249816237574815e-06, -6.0917504241611535e-06, -1.0094181604056173e-05], [-1.8927487031802044e-07, 2.656086643745953e-07, 2.4629568564734466e-07, 8.032120502147766e-07, 8.785245796225105e-07, 1.4769802687450847e-06], [-2.1060919106163243e-07, 2.4629568564734466e-07, 2.945936139459142e-07, 8.915520668773877e-07, 9.734348163640613e-07, 1.6354046820533223e-06], [-5.624981623757476e-06, 8.032120502147761e-07, 8.915520668773868e-07, 2.330357358456097e-05, 2.4721343628524736e-05, 4.182528200976023e-05], [-6.091750424161157e-06, 8.78524579622511e-07, 9.734348163640615e-07, 2.4721343628524774e-05, 2.7322726081150984e-05, 4.527905622220511e-05], [-1.0094181604056178e-05, 1.4769802687450843e-06, 1.6354046820533214e-06, 4.182528200976026e-05, 4.527905622220508e-05, 7.607512973102679e-05]]"
0.25,-0.05,"[0.03347416978551352, 0.9863008838011628, -0.015610669645066971, -0.35642471903439144, -0.35329501497694066, -0.6755688149304272]","[-0.19136754718917048, -9.15511307870257, -9.479316012760963, 1.1393864258961677, 0.6440533412410243, 1.5913590499360881]","[[1.3062006080128052e-06, -3.1503627335197874e-06, -3.268474922100964e-06, -0.00011226086807790013, -0.00011886559982957592, -0.00022967733599575936], [-3.1503627335197116e-06, 1.4713242285210838e-05, 1.5178157024875945e-05, 0.00030351997423745165, 0.0003216834579829715, 0.0006217653946399613], [-3.268474922101011e-06, 1.517815702487599e-05, 1.572912616848442e-05, 0.00031465126039840525, 0.00033357524233579164, 0.0006446542339891443], [-0.00011226086807789545, 0.00030351997423743696, 0.00031465126039838633, 0.01043654871071667, 0.011038468190614633, 0.02135303864923564], [-0.00011886559982957759, 0.00032168345798297605, 0.0003335752423357925, 0.011038468190615233, 0.011701112030178719, 0.022609682870883326], [-0.00022967733599575714, 0.0006217653946399523, 0.0006446542339891277, 0.021353038649236218, 0.022609682870882702, 0.04371257470278647]]"
0.25,0.1,"[0.046188146289224054, 0.9994246411774556, -0.002582330110024322, -0.04987479028732038, -0.011675664791119785, -0.012713887040903649]","[0.02840115317290807, 0.8912818852083251, 1.4139664933368448, -0.04172047052539265, 0.00897056485214595, 0.0049902876870994]","[[1.5593913408718317e-06, -8.343836511597969e-08, -9.456415199094013e-08, -2.8056531149555176e-06, -3.1258179187753034e-06, -3.9472958147526715e-06], [-8.343836511597973e-08, 1.2135598285521206e-07, 8.924008598926664e-08, 1.5900977948278357e-07, 1.846807664097266e-07, 2.4228371411565165e-07], [-9.456415199094013e-08, 8.924008598926665e-08, 1.3917036933356804e-07, 1.8376287752260118e-07, 2.0770846372078463e-07, 2.772138896421687e-07], [-2.8056531149555176e-06, 1.590097794827836e-07, 1.8376287752260123e-07, 5.365149104370133e-06, 5.7199271431988765e-06, 7.55776430141343e-06], [-3.1258179187753043e-06, 1.8468076640972657e-07, 2.0770846372078468e-07, 5.7199271431988765e-06, 6.661418853375054e-06, 8.413547300024103e-06], [-3.947295814752672e-06, 2.4228371411565165e-07, 2.7721388964216877e-07, 7.55776430141343e-06, 8.413547300024103e-06, 1.1158491297484653e-05]]"
0.25,-0.1,"[0.033768661839516954, 0.9956428544093064, -0.007315497146295016, -0.09883673703084513, -0.10879030388426192, -0.1680717876264147]","[-0.04113104697039353, -3.6664737691079816, -4.573595175892927, 0.1813594598995655, 0.027223431212815882, 0.14662961556698423]","[[1.6111200422266717e-06, -2.3361597763557682e-07, -2.886723962642944e-07, -2.3370967195496783e-05, -3.384002110272337e-05, -5.427622600402771e-05], [-2.3361597763557542e-07, 1.0415979700153702e-06, 1.2157722076107569e-06, 3.753293576994315e-06, 5.47143383030478e-06, 8.798693850321072e-06], [-2.8867239626429293e-07, 1.2157722076107567e-06, 1.5167995148014464e-06, 4.642994864711598e-06, 6.7249461982452294e-06, 1.0846724920803276e-05], [-2.3370967195496787e-05, 3.753293576994326e-06, 4.642994864711607e-06, 0.00036090215831974216, 0.0005196119930573193, 0.0008381008165852158], [-3.384002110272338e-05, 5.4714338303047954e-06, 6.724946198245247e-06, 0.0005196119930573195, 0.0007564759592366738, 0.001213360634729542], [-5.427622600402764e-05, 8.7986938503211e-06, 1.0846724920803304e-05, 0.0008381008165852157, 0.001213360634729542, 0.001952011828467398]]"
0.25,0.03,"[0.039292357943252185, 0.9991541568318234, -0.0022518585112860294, -0.06983444834601855, -0.03734292565777063, -0.06696334019956747]","[0.06898753485949291, 2.378703707471539, 2.6660758822376516, -0.12029856564653148, -0.01790768256040288, -0.06456748147177771]","[[1.1311353152339308e-06, -2.6432634585799013e-07, -2.8479863260478483e-07, -7.581235857748488e-06, -8.085768172170606e-06, -1.4444908224542966e-05], [-2.643263458579904e-07, 3.951164698658418e-07, 3.866649807326892e-07, 1.941123605750931e-06, 2.0784580712232725e-06, 3.742893009940922e-06], [-2.847986326047851e-07, 3.8666498073268933e-07, 4.2982037570940153e-07, 2.0840506064989196e-06, 2.23368378275075e-06, 4.017796094410149e-06], [-7.581235857748473e-06, 1.941123605750928e-06, 2.0840506064989162e-06, 5.4113032272857125e-05, 5.701650132614981e-05, 0.0001031050652977619], [-8.085768172170611e-06, 2.078458071223274e-06, 2.2336837827507517e-06, 5.701650132614994e-05, 6.153750891001919e-05, 0.00010994261945092999], [-1.444490822454297e-05, 3.7428930099409195e-06, 4.017796094410147e-06, 0.00010310506529776204, 0.00010994261945092985, 0.00019781478842849853]]"
0.25,-0.03,"[0.034982466980995205, 1.2592913815125406, 0.26333258813119603, 3.101179701799273, 3.4607536856054475, 6.592752221720477]","[10.507688271466519, 461.4561340012942, 469.2580395743583, -633.3782279510586, -651.3109791308415, -1273.667201968597]","[[7.382600254917077e-06, 0.000379897795228156, 0.00038629341347463963, 0.002562324597979215, 0.0026457335028150695, 0.0052149110116929106], [0.00037989779522576065, 0.023282277761558074, 0.02367553580580878, 0.3142867770001278, 0.3249190577625803, 0.6394932740720638], [0.00038629341347219594, 0.02367553580581779, 0.024075523986791282, 0.3196388867192529, 0.33045998059417364, 0.6503909919869084], [0.0025623245978564336, 0.31428677699465046, 0.31963888671339186, 10.147231032515991, 10.497187919423435, 20.64354863309319], [0.0026457335026887083, 0.32491905775691504, 0.33045998058811155, 10.497187919423562, 10.860763916430864, 21.35702013104002], [0.005214911011445185, 0.6394932740609246, 0.6503909919749887, 20.64354863309343, 21.35702013104002, 41.99877475531751]]"
0.25,0.12,"[0.04838195787440005, 0.9997298741202633, -0.002997725703798023, -0.049910185070551075, -0.009860761206158095, -0.007981560560862714]","[0.022809708358115, 0.7135529328864776, 1.3020656258950938, -0.03479421945944619, 0.00969400700688536, 0.0080335855526136]","[[6.577336764249034e-07, -2.827756930953744e-08, -3.0690445791595e-08, -9.941884170408447e-07, -1.1170809293488309e-06, -1.2255643897767026e-06], [-2.8277569309537422e-08, 4.2412388412924976e-08, 2.741939617497111e-08, 4.450274027590193e-08, 5.305393553718733e-08, 6.10986839972716e-08], [-3.0690445791594983e-08, 2.741939617497112e-08, 4.9073380451095834e-08, 5.0062253129626395e-08, 5.710892271426226e-08, 6.854537183061485e-08], [-9.941884170408447e-07, 4.450274027590197e-08, 5.006225312962643e-08, 1.5963974341542863e-06, 1.7024070580342354e-06, 1.971640245498459e-06], [-1.1170809293488304e-06, 5.3053935537187344e-08, 5.710892271426226e-08, 1.7024070580342343e-06, 2.016967228330862e-06, 2.213287196174704e-06], [-1.2255643897767022e-06, 6.109868399727163e-08, 6.854537183061486e-08, 1.9716402454984586e-06, 2.213287196174704e-06, 2.6191122236555023e-06]]"
0.25,-0.12,"[0.03389995287186344, 0.9941030488077448, -0.01062597972517871, -0.10807139036706034, -0.17253433391525552, -0.22651456085437874]","[-0.017420712586879467, -4.035729466237141, -5.825416868477107, 0.25439734122176255, 0.1986032293826149, 0.3665792975431283]","[[1.5267472721533603e-06, 1.2304713122572483e-07, 1.8717920863990144e-07, -2.6450416538099964e-05, -5.1898471247910164e-05, -7.193644652702714e-05], [1.2304713122572594e-07, 1.1555315857023558e-06, 1.577559085269846e-06, -2.2130977739758915e-06, -4.309369445021432e-06, -5.9738278127070616e-06], [1.8717920863990038e-07, 1.5775590852698457e-06, 2.2819523140057433e-06, -3.314212751458816e-06, -6.635596882466626e-06, -9.074045318120652e-06], [-2.6450416538100062e-05, -2.2130977739759098e-06, -3.314212751458882e-06, 0.0004880840784947883, 0.0009530673529781985, 0.0013273407156902675], [-5.189847124791005e-05, -4.309369445021423e-06, -6.63559688246669e-06, 0.0009530673529781917, 0.0018785968331742936, 0.0026040170554558354], [-7.193644652702728e-05, -5.973827812707092e-06, -9.074045318120809e-06, 0.001327340715690263, 0.0026040170554558445, 0.0036185930152568572]]"
