x,y,mdq,mdu,sdq,sdu,bad_apples
-0.08,-0.25,0.0325959,0.008407,2.44e-05,1.96e-05,0
-0.08,0.18,-0.0002043,-0.0002754,6e-05,6.21e-05,0
-0.08,-0.18,-0.0002254,0.0003784,4.71e-05,3.49e-05,0
-0.08,0.23,-0.0004003,-0.0018952,6.53e-05,6.84e-05,0
-0.08,-0.23,0.0001696,4.78e-05,4.69e-05,1.73e-05,0
-0.08,0.01,-0.000223,3.42e-05,4.01e-05,3.9e-05,0
-0.08,-0.01,-0.0003164,7.88e-05,3.8e-05,4.06e-05,0
-0.08,0.08,-0.0032705,-0.0025386,5.28e-05,4.73e-05,0
-0.08,-0.08,-0.0002454,0.0003592,3.93e-05,5.35e-05,0
-0.08,0.16,-0.0001536,-0.0002162,5.59e-05,6.06e-05,0
-0.08,-0.16,-0.0003495,0.0003673,3.55e-05,5.02e-05,0
-0.08,0.05,-0.0160896,0.001189,6.79e-05,3.94e-05,0
-0.08,-0.05,-0.0001425,0.0001863,3.95e-05,5.28e-05,0
-0.08,0.1,-0.0001634,-0.0002271,4.12e-05,4.23e-05,0
-0.08,-0.1,-0.0149979,0.016641,5.92e-05,4.09e-05,0
-0.08,0.03,-0.0010017,8.17e-05,4.66e-05,3.86e-05,0
-0.08,-0.03,-0.000559,0.0002909,3.85e-05,4.71e-05,0
-0.08,0.12,-0.0009075,-0.0011867,5.27e-05,5.13e-05,0
-0.08,-0.12,-0.000278,0.0004006,3.24e-05,6.15e-05,0
-0.08,0.21,-0.0005158,-0.0006762,6.27e-05,6.33e-05,0
-0.08,-0.21,0.0199395,0.0163732,2.82e-05,1.57e-05,0
-0.08,0.14,-0.0002883,-0.0003182,5.61e-05,5.4e-05,0
-0.08,-0.14,-0.0003138,0.0003986,4.23e-05,5.53e-05,0
0.16,0.25,0.0392009,0.030735,0.0001589,0.0001474,0
0.16,-0.25,-0.0053039,0.004254,6.13e-05,3.62e-05,0
0.16,0.18,0.000271,-0.0047066,7.19e-05,0.0001659,0
0.16,-0.18,-0.0003781,0.0001734,5.49e-05,6.28e-05,0
0.16,0.23,0.0042769,-0.0099715,6.77e-05,0.0002079,0
0.16,-0.23,-0.0003832,0.0003932,5.98e-05,5.37e-05,0
0.16,0.01,0.0023838,0.0034531,5.29e-05,0.0005107,0
0.16,-0.01,0.0030815,0.0042625,4.66e-05,0.0004258,0
0.16,0.08,0.0027069,-0.0054457,5.68e-05,0.000181,0
0.16,-0.08,0.000273,-0.0008974,5.82e-05,0.0001482,0
0.16,0.16,0.0004385,-0.0047938,6.76e-05,0.0001612,0
0.16,-0.16,-0.0031366,0.0010614,5.59e-05,4.42e-05,0
0.16,0.05,0.0456455,-0.2516553,0.001666,0.0052303,0
0.16,-0.05,0.0119979,0.1311906,6.49e-05,0.0009862,0
0.16,0.1,0.0016142,-0.0072401,5.6e-05,0.000108,0
0.16,-0.1,-0.0001101,-0.000321,4.7e-05,6.97e-05,0
0.16,0.03,0.0030232,0.002834,6.05e-05,0.0009298,0
0.16,-0.03,0.0209949,-0.0870704,8.84e-05,0.0007029,0
0.16,0.12,0.0011749,-0.0067704,5.56e-05,0.0001307,0
0.16,-0.12,-0.0001581,-0.0003369,4.99e-05,4.63e-05,0
0.16,0.21,0.0003386,-0.0036765,7.87e-05,0.0001918,0
0.16,-0.21,-0.0003794,0.0002582,5.66e-05,5.56e-05,0
0.16,0.14,0.0007428,-0.0055966,5.98e-05,0.0001454,0
0.16,-0.14,-0.0002142,-0.000292,5.17e-05,4.15e-05,0
-0.16,0.25,-0.0014091,0.0004874,6.38e-05,7.06e-05,0
-0.16,-0.25,0.0006964,0.0002852,3.85e-05,1.45e-05,0
-0.16,0.18,-0.001328,7.7e-05,5.24e-05,5.22e-05,0
-0.16,-0.18,-7.09e-05,0.0002851,3.41e-05,3.48e-05,0
-0.16,0.23,-0.0053443,0.001631,5.69e-05,7.2e-05,0
-0.16,-0.23,0.0001481,0.0002057,4.12e-05,1.37e-05,0
-0.16,0.01,-0.0002008,0.0001246,3.76e-05,3.31e-05,0
-0.16,-0.01,-0.0002398,9.83e-05,3.28e-05,2.86e-05,0
-0.16,0.08,-0.0002651,2.94e-05,3.82e-05,3.89e-05,0
-0.16,-0.08,-0.0002427,0.000343,3.39e-05,4.66e-05,0
-0.16,0.16,-0.000299,6.63e-05,5.18e-05,4.16e-05,0
-0.16,-0.16,-0.0001382,0.0006229,3.06e-05,4.34e-05,0
-0.16,0.05,-0.0005416,-3.71e-05,3.46e-05,3.11e-05,0
-0.16,-0.05,-0.0079898,0.0057834,4.04e-05,4.24e-05,0
-0.16,0.1,-0.00099,0.000102,3.65e-05,3.32e-05,0
-0.16,-0.1,-0.0001642,0.0004718,2.73e-05,5e-05,0
-0.16,0.03,-0.0002455,8.47e-05,3.23e-05,3.39e-05,0
-0.16,-0.03,-0.0002094,0.0001734,3.66e-05,4.43e-05,0
-0.16,0.12,-0.0003561,-1.42e-05,4.01e-05,3.45e-05,0
-0.16,-0.12,-0.0003298,0.0002681,3.83e-05,4.6e-05,0
-0.16,0.21,-0.0029203,-0.0001246,6.13e-05,5.87e-05,0
-0.16,-0.21,0.0002005,0.0002244,3.85e-05,2.86e-05,0
-0.16,0.14,-0.0002086,-3.77e-05,4.57e-05,4.67e-05,0
-0.16,-0.14,-0.0068864,0.0212496,4.48e-05,2.75e-05,0
0.05,0.25,0.0012672,-0.0069083,7.76e-05,0.0001734,0
0.05,-0.25,-0.0169302,0.0048464,7.46e-05,1.21e-05,0
0.05,0.18,0.0004267,-0.005057,7.73e-05,0.0001559,0
0.05,-0.18,-0.0004551,0.0004599,4.88e-05,5.2e-05,0
0.05,0.23,0.0006659,-0.0059085,7.86e-05,0.0001727,0
0.05,-0.23,-0.0009685,0.0001951,5.51e-05,2.27e-05,0
